date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:02	33655/33655	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:30:50%20GMT	https://gico.io/wowhair/	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/index.html	(from )
07:45:02	70/70	---M-Z	200	added ('OK')	text/plain	date:Fri,%2015%20Dec%202023%2002:15:00%20GMT	https://gico.io/robots.txt		(from )
07:45:02	4582/4582	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202022%2014:02:10%20GMT	https://gico.io/wowhair/images/favicon.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/favicon.png	(from https://gico.io/wowhair/)
07:45:03	4582/4582	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202022%2014:02:00%20GMT	https://gico.io/wowhair/images/apple-icon.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/apple-icon.png	(from https://gico.io/wowhair/)
07:45:03	193536/193536	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20May%202022%2014:56:22%20GMT	https://gico.io/wowhair/css/bootstrap.min.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/bootstrap.min.css	(from https://gico.io/wowhair/)
07:45:04	100722/100722	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20May%202022%2013:39:00%20GMT	https://gico.io/wowhair/css/font-awesome.min.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/font-awesome.min.css	(from https://gico.io/wowhair/)
07:45:04	9763/9763	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202019%2012:06:46%20GMT	https://gico.io/wowhair/css/stellarnav.min.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/stellarnav.min.css	(from https://gico.io/wowhair/)
07:45:04	26053/26053	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jul%202018%2000:40:38%20GMT	https://gico.io/wowhair/css/aos.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/aos.css	(from https://gico.io/wowhair/)
07:45:05	118666/118666	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20May%202022%2012:58:56%20GMT	https://gico.io/wowhair/css/flashy.min.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/flashy.min.css	(from https://gico.io/wowhair/)
07:45:05	4290/4290	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Dec%202016%2016:27:24%20GMT	https://gico.io/wowhair/css/owl.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/owl.css	(from https://gico.io/wowhair/)
07:45:06	335/335	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Jul%202018%2012:16:40%20GMT	https://gico.io/wowhair/css/jarallax.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/jarallax.css	(from https://gico.io/wowhair/)
07:45:06	924/924	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20May%202022%2020:12:00%20GMT	https://gico.io/wowhair/css/isotop.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/isotop.css	(from https://gico.io/wowhair/)
07:45:06	34168/34168	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20May%202022%2020:27:38%20GMT	https://gico.io/wowhair/css/pogo-slider.min.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/pogo-slider.min.css	(from https://gico.io/wowhair/)
07:45:07	42920/42920	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2021:42:34%20GMT	https://gico.io/wowhair/css/style.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/style.css	(from https://gico.io/wowhair/)
07:45:07	7449/7449	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20May%202022%2021:42:26%20GMT	https://gico.io/wowhair/css/responsive.css	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/css/responsive.css	(from https://gico.io/wowhair/)
07:45:08	33655/33655	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:30:50%20GMT	https://gico.io/wowhair/index.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/index-2.html	(from https://gico.io/wowhair/)
07:45:08	9447/9447	---M--	200	added ('OK')	image/png	date:Mon,%2016%20May%202022%2013:43:50%20GMT	https://gico.io/wowhair/images/logo.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/logo.png	(from https://gico.io/wowhair/)
07:45:08	9443/9443	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2016:09:32%20GMT	https://gico.io/wowhair/images/logo-black.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/logo-black.png	(from https://gico.io/wowhair/)
07:45:09	37911/37911	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:42%20GMT	https://gico.io/wowhair/index-two.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/index-two.html	(from https://gico.io/wowhair/)
07:45:09	22110/22110	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:30:56%20GMT	https://gico.io/wowhair/about.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/about.html	(from https://gico.io/wowhair/)
07:45:09	18442/18442	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:56%20GMT	https://gico.io/wowhair/service.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/service.html	(from https://gico.io/wowhair/)
07:45:10	17786/17786	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:50%20GMT	https://gico.io/wowhair/service-details.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/service-details.html	(from https://gico.io/wowhair/)
07:45:10	15949/15949	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:30%20GMT	https://gico.io/wowhair/gallery-one.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/gallery-one.html	(from https://gico.io/wowhair/)
07:45:10	17158/17158	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:36%20GMT	https://gico.io/wowhair/gallery-two.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/gallery-two.html	(from https://gico.io/wowhair/)
07:45:11	20385/20385	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:32:00%20GMT	https://gico.io/wowhair/team.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/team.html	(from https://gico.io/wowhair/)
07:45:11	12146/12146	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:26%20GMT	https://gico.io/wowhair/error-404.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/error-404.html	(from https://gico.io/wowhair/)
07:45:11	31744/31744	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:08%20GMT	https://gico.io/wowhair/blog-left-sidebar.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/blog-left-sidebar.html	(from https://gico.io/wowhair/)
07:45:12	31744/31744	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:14%20GMT	https://gico.io/wowhair/blog-right-sidebar.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/blog-right-sidebar.html	(from https://gico.io/wowhair/)
07:45:12	24806/24806	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:02%20GMT	https://gico.io/wowhair/blog-details.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/blog-details.html	(from https://gico.io/wowhair/)
07:45:12	15530/15530	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20May%202022%2022:31:20%20GMT	https://gico.io/wowhair/contact.html	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/contact.html	(from https://gico.io/wowhair/)
07:45:14	249953/249953	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:20:10%20GMT	https://gico.io/wowhair/images/bg/1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/bg/1.jpg	(from https://gico.io/wowhair/)
07:45:15	339914/339914	---M--	200	added ('OK')	image/png	date:Sun,%2029%20May%202022%2016:27:30%20GMT	https://gico.io/wowhair/images/img1.png	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/img1.png	(from https://gico.io/wowhair/)
07:45:15	35577/35577	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:25:18%20GMT	https://gico.io/wowhair/images/haircut/1.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/haircut/1.jpg	(from https://gico.io/wowhair/)
07:45:15	43092/43092	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:25:18%20GMT	https://gico.io/wowhair/images/haircut/2.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/haircut/2.jpg	(from https://gico.io/wowhair/)
07:45:15	38422/38422	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20May%202022%2016:25:18%20GMT	https://gico.io/wowhair/images/haircut/3.jpg	C:/Users/jhanv/Desktop/akansha/gico.io/wowhair/images/haircut/3.jpg	(from https://gico.io/wowhair/)
